"N","COPY_H2D_MIN_s","COPY_H2D_AVG_s","COPY_H2D_MAX_s","LPOTRF_MIN_s","LPOTRF_AVG_s","LPOTRF_MAX_s","UPOTRF_MIN_s","UPOTRF_AVG_s","UPOTRF_MAX_s"
105,2.10659345611929893E-05,2.30494060087949054E-05,3.65059822797775269E-05,1.87860906589776278E-03,1.88648731447756362E-03,1.92278507165610790E-03,1.91131304018199444E-03,1.91922095022164238E-03,1.96405802853405476E-03
106,2.13959719985723495E-05,2.29751149890944345E-05,3.33050265908241272E-05,1.89680699259042740E-03,1.90294270752929071E-03,1.93374394439160824E-03,1.93095300346612930E-03,1.93694072891958014E-03,1.95999501738697290E-03
107,2.15000472962856293E-05,2.31295026605948849E-05,3.53690702468156815E-05,1.91488093696534634E-03,1.92297697882168046E-03,1.95663596969097853E-03,1.95038493257015944E-03,1.95685238344594841E-03,1.98501697741448879E-03
108,2.15499894693493843E-05,2.32537451665848521E-05,3.72829381376504898E-05,1.93386396858841181E-03,1.93990828469395673E-03,1.96571589913219213E-03,1.96952698752284050E-03,1.97850917233154252E-03,2.00672401115298271E-03
109,2.19369539991021156E-05,2.34532193280756434E-05,2.49850563704967499E-05,1.95267703384160995E-03,1.95834523765370206E-03,1.98397610802203417E-03,1.98862096294760704E-03,1.99313117656856704E-03,2.01484397985041142E-03
110,2.20339279621839523E-05,2.37143441336229419E-05,3.29180620610713959E-05,1.96962209884077311E-03,1.97764209704473590E-03,2.01146199833601713E-03,2.00812506955116987E-03,2.01603313209488925E-03,2.05794500652700663E-03
111,2.20329966396093369E-05,2.39302584668621467E-05,3.64659354090690613E-05,1.98781699873507023E-03,2.00423737289384023E-03,2.12216598447412252E-03,2.02777097001671791E-03,2.04328012885525868E-03,2.17188801616430283E-03
112,2.23249662667512894E-05,2.40717281121760615E-05,5.03379851579666138E-05,2.00614600908011198E-03,2.01246731099672489E-03,2.04460101667791605E-03,2.04696506261825562E-03,2.05464029917493476E-03,2.08364101126790047E-03
113,2.26340489462018013E-05,2.40955501794815077E-05,3.62670980393886566E-05,2.03151407185941935E-03,2.03967566834762628E-03,2.07924190908670425E-03,2.06674204673618078E-03,2.07204613601788849E-03,2.11865804158151150E-03
114,2.26850388571619987E-05,2.41806957637891209E-05,3.46439192071557045E-05,2.04939197283238173E-03,2.05494605819694660E-03,2.08567897789180279E-03,2.08562100306153297E-03,2.09077656152658079E-03,2.12105305399745703E-03
115,2.30029691010713577E-05,2.46625795261934408E-05,3.78349795937538147E-05,2.06628395244479179E-03,2.07578716333955493E-03,2.15962505899369717E-03,2.10587098263204098E-03,2.11477294680662443E-03,2.16090795584022999E-03
116,2.32049496844410896E-05,2.46570049785077569E-05,3.88569897040724754E-05,2.08421400748193264E-03,2.08996772882528601E-03,2.11818993557244539E-03,2.12572002783417702E-03,2.13079593610018521E-03,2.15471803676337004E-03
117,2.32910970225930214E-05,2.48015573015436536E-05,3.11050098389387131E-05,2.10186990443617105E-03,2.10821904242038723E-03,2.13205302134156227E-03,2.14520399458706379E-03,2.15222307480871650E-03,2.18091497663408518E-03
